model,horizon,feature_set,mode,feature,members,baseline_f1,knockout_f1,importance,is_thyroid,cache_key
ENSEMBLE,7,CV17_THY_STATE_ORD,single,Dyslipidemia,Dyslipidemia,0.7626925222017247,0.7256515219976486,1.0510451629758948,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_STATE_ORD,single,Ischemia,Ischemia,0.7626925222017247,0.7375657580105213,1.0340671511906672,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_STATE_ORD,single,Vessels,Vessels,0.7626925222017247,0.7477115060958088,1.0200358239558724,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_STATE_ORD,single,AFib,AFib,0.7626925222017247,0.7490059512981107,1.0182729801811237,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_STATE_ORD,single,Diabetes,Diabetes,0.7626925222017247,0.7517071748475874,1.014613865241295,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_STATE_ORD,single,Previous_MI,Previous_MI,0.7626925222017247,0.7529204651802017,1.0129788702438631,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_STATE_ORD,single,Hypertension,Hypertension,0.7626925222017247,0.7552991299726266,1.009788694221541,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_STATE_ORD,single,Angiography,Angiography,0.7626925222017247,0.7564650862764071,1.0082322846596548,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_STATE_ORD,single,Angina,Angina,0.7626925222017247,0.756882911392405,1.0076757061387895,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_STATE_ORD,single,Gender,Gender,0.7626925222017247,0.7576158345157004,1.0067008732588985,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_STATE_ORD,single,PostIsch_DCM,PostIsch_DCM,0.7626925222017247,0.7577763983723016,1.006487565250096,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_STATE_ORD,single,Acute_MI,Acute_MI,0.7626925222017247,0.7579298142781161,1.0062838376771663,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_STATE_ORD,single,Previous_PCI,Previous_PCI,0.7626925222017247,0.7587516480894942,1.0051938919963515,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_STATE_ORD,single,Previous_CABG,Previous_CABG,0.7626925222017247,0.7624919326152384,1.0002630710934846,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_STATE_ORD,single,thyroid_ord,thyroid_ord,0.7626925222017247,0.7626925222017247,1.0,True,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_STATE_ORD,single,Smoke,Smoke,0.7626925222017247,0.7638091822094691,0.9985380379893911,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT,multi,cluster_3,"Angina, Previous_CABG, Previous_PCI, Previous_MI, Angiography, Vessels, Ischemia, PostIsch_DCM, Dyslipidemia, AFib, fe",0.7440629640088543,0.5655141388174807,1.3157283132915623,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT,multi,cluster_6,"Age, fT3",0.7440629640088543,0.6525139311043566,1.1403020357734803,True,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT,multi,cluster_7,Acute_MI,0.7440629640088543,0.7329983531701474,1.0150950009517123,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT,multi,cluster_1,Diabetes,0.7440629640088543,0.7384422316831452,1.0076116073601284,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT,multi,cluster_5,"Gender, Smoke",0.7440629640088543,0.7387492362450285,1.0071928707376196,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT,multi,cluster_2,Hypertension,0.7440629640088543,0.748061980196216,0.9946541646371164,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT,multi,cluster_4,"TSH, fT4",0.7440629640088543,0.7506693711967546,0.9911993116525215,True,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT,single,Age,Age,0.7440629640088543,0.6444461862026623,1.154577340884232,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT,single,fe,fe,0.7440629640088543,0.6888043214663564,1.0802240067612539,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT,single,Dyslipidemia,Dyslipidemia,0.7440629640088543,0.7204237162205192,1.0328129783294075,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT,single,Angina,Angina,0.7440629640088543,0.7275829972075706,1.022650291258225,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT,single,Acute_MI,Acute_MI,0.7440629640088543,0.7329983531701474,1.0150950009517123,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT,single,Ischemia,Ischemia,0.7440629640088543,0.7335464422279321,1.0143365452758266,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT,single,AFib,AFib,0.7440629640088543,0.7345675166100114,1.0129265822189686,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT,single,Angiography,Angiography,0.7440629640088543,0.7358848574601999,1.0111132964155287,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT,single,Gender,Gender,0.7440629640088543,0.7373748444474889,1.0090701759243994,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT,single,PostIsch_DCM,PostIsch_DCM,0.7440629640088543,0.7383344686648501,1.0077586725083596,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT,single,Diabetes,Diabetes,0.7440629640088543,0.7384422316831452,1.0076116073601284,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT,single,Previous_MI,Previous_MI,0.7440629640088543,0.740011890469949,1.0054743357384874,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT,single,fT3,fT3,0.7440629640088543,0.740011890469949,1.0054743357384874,True,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT,single,Previous_PCI,Previous_PCI,0.7440629640088543,0.7426723252631409,1.0018724795557996,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT,single,TSH,TSH,0.7440629640088543,0.7427106227106227,1.001820818575741,True,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT,single,Smoke,Smoke,0.7440629640088543,0.7427377975237304,1.0017841645995962,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT,single,Previous_CABG,Previous_CABG,0.7440629640088543,0.7467247295897056,0.9964354125752419,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT,single,Hypertension,Hypertension,0.7440629640088543,0.748061980196216,0.9946541646371164,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT,single,Vessels,Vessels,0.7440629640088543,0.7507509157509158,0.9910916502374532,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT,single,fT4,fT4,0.7440629640088543,0.7556737369364912,0.9846352038451051,True,1d225cfbcbdb0d4d706d
