horizon,feature_set,model,scheme,f1_macro,roc_auc,precision_1,recall_1,precision_0,recall_0,brier,threshold,f1_macro_std,roc_auc_std,precision_1_std,recall_1_std,precision_0_std,recall_0_std,brier_std,threshold_std,cache_key
7,CV17_THY_ABNORMAL_BIN,AdaBoost,A_5fold_cv,0.7196112184373213,0.8333939966556194,0.5314563365639852,0.5764722457030149,0.8975172146862869,0.8787619936828304,0.1968292448744129,0.544,0.0176648798326414,0.0160676111930947,0.0227303902943018,0.0650519362647175,0.0125407758397276,0.0178449710760221,0.002573243654463,0.0089442719099991,85033eaf7973736b5b9a
7,CV17_THY_ABNORMAL_BIN,AdaBoost,B_60_20_20,0.7193692733858938,0.8271252515090544,0.5833333333333334,0.5,0.885558583106267,0.9154929577464788,0.195920341001006,0.56,,,,,,,,,85033eaf7973736b5b9a
7,CV17_THY_ABNORMAL_BIN,SVC,A_5fold_cv,0.7123009519866089,0.8184871100005642,0.5187959337711948,0.5694843617920541,0.895651258369794,0.873981207413735,0.1495830586348806,0.632,0.0208644648522413,0.0136721179478344,0.0212279533304352,0.0817252551566093,0.0154271544963154,0.0222401511747122,0.0063845000509632,0.0540370243444251,85033eaf7973736b5b9a
7,CV17_THY_ABNORMAL_BIN,SVC,B_60_20_20,0.7275643350500093,0.828420523138833,0.5376344086021505,0.5952380952380952,0.9017341040462428,0.8788732394366198,0.1427117676452264,0.64,,,,,,,,,85033eaf7973736b5b9a
7,CV17_THY_ABNORMAL_BIN,KNeighbors,A_5fold_cv,0.6433371168467575,0.711123782921418,0.407340761090761,0.4626584953508031,0.8680392836530743,0.8398653131766622,0.2111435079726651,0.62,0.0118220035611875,0.016583786509601,0.0185506487088434,0.0273409502369785,0.0057594936796277,0.011106464613555,0.0024471521001013,0.0,85033eaf7973736b5b9a
7,CV17_THY_ABNORMAL_BIN,KNeighbors,B_60_20_20,0.648697610358798,0.7330021797451375,0.4171122994652406,0.4642857142857143,0.869753979739508,0.8464788732394366,0.1997266514806378,0.62,,,,,,,,,85033eaf7973736b5b9a
7,CV17_THY_ABNORMAL_BIN,MLP,A_5fold_cv,0.701029638525663,0.7799306631861563,0.5123793089901479,0.5256058044519583,0.8865232358350141,0.8807385923439084,0.1612464138274525,0.628,0.0239367574093188,0.0229047854248176,0.0411340033981166,0.0432367461297338,0.0101520397271201,0.0143803432390989,0.0094964076901265,0.0540370243444251,85033eaf7973736b5b9a
7,CV17_THY_ABNORMAL_BIN,MLP,B_60_20_20,0.6964580673588594,0.798817907444668,0.5547445255474452,0.4523809523809524,0.8758434547908233,0.9140845070422536,0.1534580513765515,0.76,,,,,,,,,85033eaf7973736b5b9a
7,CV17_THY_ABNORMAL_BIN,GradientBoosting,A_5fold_cv,0.7209677509207004,0.8340815835835066,0.5172216979166524,0.6214356156663848,0.905755693915084,0.8590138858539105,0.1532642266305596,0.612,0.0258573593814279,0.0223014568964285,0.0542064071189644,0.0810874328308052,0.0152156633982542,0.0380626983112069,0.0060801854652701,0.0715541752799932,85033eaf7973736b5b9a
7,CV17_THY_ABNORMAL_BIN,GradientBoosting,B_60_20_20,0.741446905766526,0.8353286384976526,0.6148648648648649,0.5416666666666666,0.8945205479452055,0.9197183098591548,0.147370749265825,0.7,,,,,,,,,85033eaf7973736b5b9a
