horizon,feature_set,model,sampler,status,replication_only,n,n_events,prevalence,threshold,f1_macro,roc_auc,auprc,brier,precision_event,recall_event,precision_free,recall_free
7,CV17_THY_CONT_STATES,RandomForest,SMOTE,ok,True,878,169,0.19248291571753987,0.5,0.7239220949691786,0.8190133615977165,0.5973627708686918,0.12904456083041663,0.5609756097560976,0.5443786982248521,0.8921568627450981,0.8984485190409027
7,CV17_THY_CONT_STATES,RandomForest,BorderlineSMOTE,ok,True,878,169,0.19248291571753987,0.5,0.7191508806912597,0.8229525709182863,0.5887448098017021,0.12800658859838773,0.543859649122807,0.5502958579881657,0.8925035360678925,0.8899858956276445
7,CV17_THY_CONT_STATES,RandomForest,SVMSMOTE,ok,True,878,169,0.19248291571753987,0.5,0.7325140151083387,0.8282104138673521,0.6135438717591111,0.1228136064899043,0.563953488372093,0.5739644970414202,0.8980169971671388,0.8942172073342737
7,CV17_THY_CONT_STATES,SVC,none,ok,False,878,169,0.19248291571753987,0.5,0.6343171534348004,0.8191218567696814,0.5334703026699147,0.12641402166206187,0.5384615384615384,0.28994082840236685,0.8475222363405337,0.9407616361071932
7,CV17_THY_CONT_STATES,SVC,class_weight,ok,False,878,169,0.19248291571753987,0.5,0.7106787442974202,0.8187045676467397,0.5654612141741189,0.11737862620482613,0.6574074074074074,0.42011834319526625,0.8727272727272727,0.9478138222849083
7,CV17_THY_CONT_STATES,SVC,RandomOverSampler,ok,False,878,169,0.19248291571753987,0.5,0.6746103702723272,0.820657480742107,0.5855620654157695,0.17152373488069855,0.40863787375415284,0.727810650887574,0.9202772963604853,0.7489421720733427
7,CV17_THY_CONT_STATES,SVC,SMOTENC,ok,False,878,169,0.19248291571753987,0.5,0.6836500480409949,0.8184959230852689,0.5755265459638711,0.16792953130259383,0.42033898305084744,0.7337278106508875,0.9228130360205832,0.7588152327221439
7,CV17_THY_CONT_STATES,SVC,SMOTE,ok,True,878,169,0.19248291571753987,0.5,0.6746103702723272,0.8226270854023918,0.5811719096632241,0.17202321945141208,0.40863787375415284,0.727810650887574,0.9202772963604853,0.7489421720733427
7,CV17_THY_CONT_STATES,SVC,BorderlineSMOTE,ok,True,878,169,0.19248291571753987,0.5,0.6735978586829909,0.8250473623154538,0.5900547827000223,0.17231385801742305,0.40728476821192056,0.727810650887574,0.9201388888888888,0.7475317348377997
7,CV17_THY_CONT_STATES,SVC,SVMSMOTE,ok,True,878,169,0.19248291571753987,0.5,0.6849513631809687,0.8141227330768397,0.5610857659116284,0.16010452507288345,0.43478260869565216,0.650887573964497,0.9056,0.7983074753173484
7,CV17_THY_CONT_STATES,XGBoost,none,ok,False,878,169,0.19248291571753987,0.5,0.7070791704761638,0.8344280217991837,0.6206942299726675,0.11064145640010788,0.7021276595744681,0.3905325443786982,0.8686224489795918,0.9605077574047954
7,CV17_THY_CONT_STATES,XGBoost,RandomOverSampler,ok,False,878,169,0.19248291571753987,0.5,0.7122320422101603,0.8203069578788359,0.6035176969703085,0.13541057815393198,0.49074074074074076,0.6272189349112426,0.904833836858006,0.844851904090268
7,CV17_THY_CONT_STATES,XGBoost,SMOTENC,ok,False,878,169,0.19248291571753987,0.5,0.7157804787324948,0.8064279216497942,0.5810825108213358,0.13225046185466593,0.521505376344086,0.5739644970414202,0.8959537572254336,0.8744710860366713
7,CV17_THY_CONT_STATES,XGBoost,SMOTE,ok,True,878,169,0.19248291571753987,0.5,0.7182928973277074,0.8173859340182439,0.5906384896228984,0.12152631039819024,0.5782312925170068,0.5029585798816568,0.8850889192886456,0.9125528913963329
7,CV17_THY_CONT_STATES,XGBoost,BorderlineSMOTE,ok,True,878,169,0.19248291571753987,0.5,0.7237137043934064,0.8234199347359812,0.5904991205584967,0.12155111770920445,0.5741935483870968,0.5266272189349113,0.8893499308437067,0.9069111424541608
7,CV17_THY_CONT_STATES,XGBoost,SVMSMOTE,ok,True,878,169,0.19248291571753987,0.5,0.7276607359984119,0.8274926765758923,0.6076482763940809,0.12234377757313554,0.5549132947976878,0.5680473372781065,0.8964539007092198,0.8913963328631875
7,CV17_THY_CONT_RATIO,AdaBoost,none,ok,False,878,169,0.19248291571753987,0.5,0.6994951655685805,0.8420852772051645,0.6316653124790744,0.1499003312513182,0.759493670886076,0.35502958579881655,0.8635794743429287,0.9732016925246827
7,CV17_THY_CONT_RATIO,AdaBoost,RandomOverSampler,ok,False,878,169,0.19248291571753987,0.5,0.7092451738393859,0.8408876574223216,0.6400198224299914,0.18502055041267088,0.46037735849056605,0.7218934911242604,0.9233278955954323,0.7983074753173484
7,CV17_THY_CONT_RATIO,AdaBoost,SMOTENC,ok,False,878,169,0.19248291571753987,0.5,0.7063468020837893,0.82027774764023,0.5997699071730538,0.1880244428653554,0.4580152671755725,0.7100591715976331,0.9204545454545454,0.7997179125528914
7,CV17_THY_CONT_RATIO,AdaBoost,SMOTE,ok,True,878,169,0.19248291571753987,0.5,0.7148622514139755,0.8312524515735972,0.5884858215049601,0.18833752367543674,0.4810126582278481,0.6745562130177515,0.9141965678627145,0.8265162200282088
7,CV17_THY_CONT_RATIO,AdaBoost,BorderlineSMOTE,ok,True,878,169,0.19248291571753987,0.5,0.7196397818599312,0.8328339773495463,0.578035134249717,0.18676493185208154,0.4817813765182186,0.7041420118343196,0.9207606973058637,0.8194640338504936
7,CV17_THY_CONT_RATIO,AdaBoost,SVMSMOTE,ok,True,878,169,0.19248291571753987,0.5,0.7285629971051966,0.8378998673020588,0.6163703811834924,0.18445026342115206,0.509009009009009,0.6686390532544378,0.9146341463414634,0.846262341325811
7,CV17_THY_CONT_RATIO,GradientBoosting,none,ok,False,878,169,0.19248291571753987,0.5,0.7073333333333334,0.8326587159179107,0.630617602208662,0.10901908519169132,0.735632183908046,0.378698224852071,0.8672566371681416,0.9675599435825106
7,CV17_THY_CONT_RATIO,GradientBoosting,RandomOverSampler,ok,False,878,169,0.19248291571753987,0.5,0.7062605457613312,0.822977608265663,0.6317344879840439,0.14309216108605533,0.4686192468619247,0.6627218934911243,0.9107981220657277,0.8208744710860366
7,CV17_THY_CONT_RATIO,GradientBoosting,SMOTENC,ok,False,878,169,0.19248291571753987,0.5,0.6772058823529412,0.8066365662112651,0.5926717356572822,0.1441312624829164,0.43612334801762115,0.5857988165680473,0.8924731182795699,0.8194640338504936
7,CV17_THY_CONT_RATIO,GradientBoosting,SMOTE,ok,True,878,169,0.19248291571753987,0.5,0.715763415972194,0.8199230518857296,0.6134731406245357,0.13526052373643577,0.5049019607843137,0.6094674556213018,0.9020771513353115,0.8575458392101551
