seed,feature_set,fold,model,n_train,n_test,events_test,eval_times,brier_grid,inner_best_c,c_harrell,metric_failures,c_uno,auc_time_dependent,auc_at_last_time,integrated_brier
5,CV17,0,RSF,6450,1613,202,"7.000,10.000",0.147-14.306,,0.784676544994579,,0.7797219605737412,0.8305597161952366,0.8272203714550285,0.08521491362199972
5,CV17,1,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7966559163892866,,0.8041181440400708,0.847252952140106,0.86136098571591,0.08896643357511436
5,CV17,2,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7868237066630552,,0.7758037535368695,0.8378013188580868,0.8293540499925675,0.08831560217728807
5,CV17,3,RSF,6451,1612,201,"7.000,10.000",0.152-14.769,,0.7496247147832352,,0.7358912473389793,0.7888110048910987,0.7805515831331026,0.08829833662319478
5,CV17,4,RSF,6451,1612,201,"7.000,10.000",0.152-14.769,,0.8041602657255553,,0.7889913431703074,0.838367225319299,0.8346181652806504,0.09074594499956043
5,CV17_THY_CONT,0,RSF,6450,1613,202,"7.000,10.000",0.147-14.306,,0.794770296987606,,0.7908118222130545,0.8305868137221436,0.8319521448497683,0.08394909390590559
5,CV17_THY_CONT,1,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,,0.8062794267285239,,0.8021897358010726,0.8484181473253293,0.8497275325212825,0.08875870027288255
5,CV17_THY_CONT,2,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7981234764355363,,0.7823407743169488,0.8342896554363758,0.8243335392722171,0.08858710989694657
5,CV17_THY_CONT,3,RSF,6451,1612,201,"7.000,10.000",0.152-14.769,,0.757681552265436,,0.7339783565086665,0.7834739997931145,0.7667162940228642,0.08879062166121751
5,CV17_THY_CONT,4,RSF,6451,1612,201,"7.000,10.000",0.152-14.769,,0.8086526883952667,,0.7959574667542272,0.8368162903163625,0.8355418128912403,0.09123763545667794
6,CV17,0,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7842126760387275,,0.7836137034340707,0.8283848517374748,0.8403174619753075,0.08457269001934638
6,CV17,1,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7828982528263104,,0.783290627630407,0.8433019078346752,0.8425070997548298,0.08462311150918239
6,CV17,2,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7924336090552895,,0.7734330484400295,0.8264059849358159,0.8141414608686911,0.09351130868358257
6,CV17,3,RSF,6451,1612,201,"7.000,10.000",0.152-14.769,,0.7646141053227148,,0.7567464290397143,0.8031985155062435,0.8032385591744752,0.09103746105004484
6,CV17,4,RSF,6451,1612,201,"7.000,10.000",0.143-13.886,,0.7885068809026291,,0.7773221273152402,0.8259492794011195,0.8257822477096498,0.08659015986032867
6,CV17_THY_CONT,0,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,,0.8100803140876828,,0.8091522180752678,0.8454301743684389,0.8565540307525868,0.08322448559989246
6,CV17_THY_CONT,1,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7980226104830421,,0.7981437734803062,0.8456797898613728,0.845636742403373,0.0843107634263816
6,CV17_THY_CONT,2,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7928428384849804,,0.7716335302924413,0.8200632404903297,0.8004277768141465,0.09339596169783138
6,CV17_THY_CONT,3,RSF,6451,1612,201,"7.000,10.000",0.152-14.769,,0.7714593102502336,,0.7570163372734172,0.7971411087502137,0.7938875240653318,0.09229974081978803
6,CV17_THY_CONT,4,RSF,6451,1612,201,"7.000,10.000",0.143-13.886,,0.7913578804829827,,0.7670871902340058,0.8154407670947349,0.803793806673299,0.08670575869135712
7,CV17,0,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7783532413897306,,0.7641799420345343,0.8214085725090278,0.805507318836969,0.0885688680588965
7,CV17,1,RSF,6450,1613,202,"7.000,10.000",0.147-14.306,,0.7948118942578247,,0.7831798785118242,0.8398335551361849,0.8311692359148768,0.08552244118450031
7,CV17,2,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7743679206907687,,0.7653469362276446,0.8178932716861694,0.824157917585799,0.088572390244469
7,CV17,3,RSF,6451,1612,201,"7.000,10.000",0.152-14.769,,0.800224009774972,,0.793972337712865,0.8271892562537002,0.8307793475985941,0.08630824305109785
