horizon,feature_set,k,rep_fold,model,n,n_events,prevalence,threshold,f1_macro,roc_auc,auprc,brier,precision_event,recall_event,precision_free,recall_free
7,CV17_THY_CONT,2,5,AdaBoost,878,169,0.19248291571753987,0.5,0.6786882893226176,0.8205364668964539,0.5630154900049587,0.18714710502184306,0.4291497975708502,0.6272189349112426,0.9001584786053882,0.8011283497884344
7,CV17_THY_CONT,2,5,paper_ensemble,878,169,0.19248291571753987,0.5,0.6948937141949384,0.8280518440006343,0.5710802478135282,0.1506747654103829,0.484375,0.5502958579881657,0.8892128279883382,0.8603667136812412
7,CV17_THY_CONT,3,5,LogisticRegression,878,169,0.19248291571753987,0.5,0.6992532712201137,0.8258235200841254,0.5643748630117595,0.1557839961305692,0.45,0.6923076923076923,0.9158576051779935,0.7983074753173484
7,CV17_THY_CONT,3,5,RandomForest,878,169,0.19248291571753987,0.5,0.7036047949255497,0.8168601497233373,0.5558595722642637,0.1271064517278691,0.5384615384615384,0.4970414201183432,0.8822714681440443,0.8984485190409027
7,CV17_THY_CONT,3,5,AdaBoost,878,169,0.19248291571753987,0.5,0.6765765522941879,0.80130361122007,0.5373024545307917,0.22269024976066584,0.4268292682926829,0.621301775147929,0.8987341772151899,0.8011283497884344
7,CV17_THY_CONT,3,5,paper_ensemble,878,169,0.19248291571753987,0.5,0.7007379693556441,0.827208919972292,0.5713330458040204,0.1517248595336028,0.49222797927461137,0.5621301775147929,0.891970802919708,0.8617771509167842
7,CV17_THY_CONT,5,5,LogisticRegression,878,169,0.19248291571753987,0.5,0.692250482621189,0.8274509476635983,0.5647703038696408,0.15966113466094964,0.4444444444444444,0.6627218934911243,0.9089456869009584,0.8025387870239774
7,CV17_THY_CONT,5,5,RandomForest,878,169,0.19248291571753987,0.5,0.6989070956775858,0.8192053145942698,0.5592454702556544,0.12712464704304885,0.525,0.4970414201183432,0.8816155988857939,0.8928067700987306
7,CV17_THY_CONT,5,5,AdaBoost,878,169,0.19248291571753987,0.5,0.6775766785155437,0.8206199247210422,0.5635361036122241,0.1922040549566715,0.4297520661157025,0.6153846153846154,0.8977987421383647,0.8053596614950634
7,CV17_THY_CONT,5,5,paper_ensemble,878,169,0.19248291571753987,0.5,0.6995065265838905,0.8306891112576259,0.5795219160515253,0.14953789620923438,0.49214659685863876,0.5562130177514792,0.8908296943231441,0.8631875881523272
7,CV17_THY_CONT,2,6,LogisticRegression,878,168,0.19134396355353075,0.5,0.697428536916376,0.8334590878604964,0.5755519690881385,0.16302771877898584,0.44881889763779526,0.6785714285714286,0.9134615384615384,0.8028169014084507
7,CV17_THY_CONT,2,6,RandomForest,878,168,0.19134396355353075,0.5,0.7028568917018284,0.8274312541918176,0.5589563117207764,0.12712473837250227,0.5472972972972973,0.48214285714285715,0.8808219178082192,0.9056338028169014
7,CV17_THY_CONT,2,6,AdaBoost,878,168,0.19134396355353075,0.5,0.7008951545681876,0.8261192152917506,0.5739532219238894,0.18459969352496572,0.45867768595041325,0.6607142857142857,0.910377358490566,0.8154929577464789
7,CV17_THY_CONT,2,6,paper_ensemble,878,168,0.19134396355353075,0.5,0.7169634783976098,0.8363262910798122,0.5870688937772649,0.15085452493369914,0.51010101010101,0.6011904761904762,0.9014705882352941,0.8633802816901408
