seed,feature_set,fold,model,n_train,n_test,events_test,eval_times,brier_grid,inner_best_c,c_harrell,metric_failures,c_uno,auc_time_dependent,auc_at_last_time,integrated_brier
2,CV17_THY_CONT,2,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7862343364920684,,0.7809492257397789,0.8229185169376377,0.8261058097594195,0.08318955239458338
2,CV17_THY_CONT,3,Cox,6451,1612,201,"7.000,10.000",0.143-13.886,,0.8170132521366043,,0.8134139640957045,0.8621299688640863,0.8604956947760638,0.07908037717707676
2,CV17_THY_CONT,4,Cox,6451,1612,201,"7.000,10.000",0.152-14.769,,0.8050946532498395,,0.7840742636963992,0.8382371004958831,0.8324114435480207,0.08163719464569959
3,CV17,0,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.8103349885441243,,0.7977493147277429,0.8465731861891332,0.8437376826220737,0.09018834923942393
3,CV17,1,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7827247100342148,,0.7621570391414161,0.8300987234645305,0.8193691469554135,0.08662521208886868
3,CV17,2,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7803217926752727,,0.7739444367808873,0.8163893496633942,0.8278624316382659,0.08602367360984578
3,CV17,3,Cox,6451,1612,201,"7.000,10.000",0.152-14.769,,0.7791069480495053,,0.787333462618658,0.8267098151461761,0.8338902270322637,0.08950680830775017
3,CV17,4,Cox,6451,1612,201,"7.000,10.000",0.147-14.306,,0.7880107138301943,,0.7842197822272613,0.830176676192794,0.8276504660329775,0.08010704035643774
3,CV17_THY_CONT,0,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.8139676509918489,,0.8004342337250753,0.8493215666053037,0.8447339196999366,0.09022958326309793
3,CV17_THY_CONT,1,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7859137957005444,,0.763526158069751,0.8295048889243957,0.8168910624120009,0.08793947077849863
3,CV17_THY_CONT,2,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7837271632372649,,0.7787111882994846,0.8167290717292162,0.8304925624382078,0.08430215774459805
3,CV17_THY_CONT,3,Cox,6451,1612,201,"7.000,10.000",0.152-14.769,,0.7802396686269838,,0.7894557454684201,0.8273819547319591,0.8360011767566028,0.08946053931699323
3,CV17_THY_CONT,4,Cox,6451,1612,201,"7.000,10.000",0.147-14.306,,0.7880659835891332,,0.7844283631230766,0.82798473849889,0.8261166079371554,0.0803313870487569
4,CV17,0,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7961388129222393,,0.7871863810628352,0.8217799908815926,0.8399621304845233,0.08210737100337165
4,CV17,1,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.798912453835705,,0.7860555816549112,0.8371445809901888,0.834034972128096,0.08363297505758363
4,CV17,2,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7826272248683881,,0.7844189994486298,0.8289444013694035,0.8354018937492387,0.08582090092642927
4,CV17,3,Cox,6451,1612,201,"7.000,10.000",0.147-14.306,,0.7978664112165811,,0.7903020593862211,0.8367464299059744,0.846085304947862,0.08859674360646966
4,CV17,4,Cox,6451,1612,201,"7.000,10.000",0.152-14.769,,0.771367611288327,,0.7629961491563768,0.8297313188141167,0.8082469763287017,0.08927322838458637
4,CV17_THY_CONT,0,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.799302355590521,,0.7904642238003469,0.8252755745904762,0.8428165746763319,0.08187695079444966
