draw,horizon,n_oob,c_base,c_thy,delta
187,,3016,0.7997823223052141,0.8010044993955406,0.0012221770903265705
188,,2934,0.7926027648548528,0.7908830108688452,-0.001719753986007655
189,,3014,0.7724927958587203,0.7743157122110044,0.001822916352284043
190,,2978,0.767938768013169,0.7700777954996721,0.0021390274865031866
191,,2936,0.7990559284981912,0.8001470275289703,0.0010910990307790858
192,,2998,0.782176756936044,0.7838022398251844,0.0016254828891403283
193,,3010,0.78947323979001,0.7924817127306415,0.003008472940631446
194,,3001,0.7959209046375222,0.7966598964481916,0.0007389918106693871
195,,2923,0.7730472237608537,0.7774316910866448,0.004384467325791119
196,,2974,0.7771247798239629,0.777550215701178,0.0004254358772151079
197,,2985,0.7886497040890069,0.7893457516284487,0.0006960475394417465
198,,2935,0.7915382242178078,0.7945175790861272,0.0029793548683193505
199,,2968,0.7859693953057016,0.7864614678808568,0.0004920725751551558
200,,2947,0.7873885805039809,0.7884038365036912,0.0010152559997103072
201,,2953,0.8020871442861931,0.8048860359864815,0.002798891700288353
202,,2954,0.7831471646895399,0.7844331352599124,0.0012859705703724966
203,,2982,0.776747391518063,0.7785678813400426,0.0018204898219795762
204,,3000,0.7914987230770406,0.7906355588033844,-0.0008631642736561806
205,,3021,0.7600365660252487,0.7617885036151005,0.0017519375898518152
206,,2987,0.7692771529128005,0.7714639068691393,0.002186753956338827
207,,2967,0.7878139400543528,0.7905197652588324,0.002705825204479595
208,,2972,0.7706550627898943,0.7745438082516735,0.0038887454617791972
209,,2972,0.7859207352574232,0.7864210783498294,0.000500343092406208
210,,2933,0.7867594023048327,0.7890849513857923,0.00232554908095961
211,,2963,0.8020612086649602,0.8053042150005576,0.003243006335597376
212,,2965,0.7751627321154443,0.7773156290732957,0.002152896957851369
213,,2962,0.7777149622388472,0.7798343528886839,0.0021193906498366832
214,,2979,0.7895545867564556,0.7926549368640188,0.0031003501075631545
215,,2944,0.7934680607760588,0.7958820271676982,0.002413966391639377
216,,2980,0.7968035088216611,0.7980945778964336,0.0012910690747724995
217,,2987,0.7915234896300068,0.7977512877874554,0.006227798157448561
218,,2994,0.7874173428246054,0.7910785617622341,0.0036612189376287185
219,,2988,0.771326934943091,0.7715673082403436,0.00024037329725257184
220,,2961,0.7889719230640725,0.7924838603095405,0.0035119372454680553
221,,2969,0.7853339353133241,0.7873034568046641,0.0019695214913399983
222,,2927,0.7881694233768186,0.7892428806733847,0.0010734572965660494
223,,2932,0.7923359448098649,0.7927018308265952,0.00036588601673026577
224,,2964,0.7862754350341477,0.7850719221318367,-0.0012035129023109103
225,,2974,0.7995116488101246,0.8020218988978453,0.0025102500877206557
226,,2924,0.8047632704617431,0.8076788362145241,0.0029155657527809575
227,,2989,0.7942164517886326,0.7962581116856059,0.002041659896973247
228,,2953,0.7890289427625679,0.7905838683313907,0.0015549255688228625
229,,2964,0.7919171680812508,0.7948089230590593,0.0028917549778084695
230,,2944,0.7856720618900546,0.7881220121317957,0.0024499502417411056
231,,2928,0.7949955934674515,0.7977591965966336,0.002763603129182113
232,,2977,0.7855730534862996,0.7881570866619514,0.002584033175651812
233,,2960,0.7847559480482135,0.7837289284462605,-0.0010270196019529498
234,,2955,0.7769739230975041,0.77901043458319,0.0020365114856858435
235,,2979,0.7824835181655508,0.7818639688330241,-0.0006195493325267254
236,,2994,0.7867885967923489,0.7876893682358983,0.0009007714435493863
237,,2957,0.7778832682878014,0.7805263684579206,0.0026431001701191503
238,,2946,0.7855138124202375,0.7853468567431754,-0.00016695567706215275
239,,2973,0.7902998198855817,0.7901548284038312,-0.00014499148175051157
240,,2975,0.7883540568083957,0.7908796146642748,0.002525557855879157
241,,2976,0.7783110392298067,0.7829165998760685,0.00460556064626183
242,,2944,0.7832293706475081,0.7853198635732904,0.002090492925782339
243,,2968,0.7964545497765523,0.7972651421508035,0.0008105923742511845
244,,2971,0.7658969968286633,0.7666469577948588,0.0007499609661955065
