draw,horizon,n_oob,c_base,c_thy,delta
52,10.0,2969,0.7927185962619334,0.792919517998635,0.00020092173670160918
53,7.0,2990,0.8025295814988904,0.8087145784148996,0.006184996916009156
53,10.0,2990,0.7984223276673273,0.8037226126360609,0.005300284968733582
54,7.0,2959,0.7914820455695083,0.7949537975050929,0.003471751935584577
54,10.0,2959,0.7885355834610929,0.7916291190250486,0.0030935355639557516
55,7.0,2983,0.7726012784561551,0.7730753793480574,0.0004741008919022516
55,10.0,2983,0.7685335537775678,0.7684616697880577,-7.188398951007979e-05
56,7.0,2946,0.7993129894651303,0.79892659583226,-0.0003863936328702966
56,10.0,2946,0.7951802833662288,0.7938405646694165,-0.0013397186968122643
57,7.0,3016,0.7985123696852838,0.7981947122454982,-0.00031765743978562355
57,10.0,3016,0.795839706635802,0.7944974364127394,-0.0013422702230625472
58,7.0,2965,0.7664443051758523,0.7667433852327863,0.0002990800569340202
58,10.0,2965,0.7637478034070236,0.7623360532623031,-0.0014117501447205028
59,7.0,2969,0.7817347793198578,0.7816956767376041,-3.910258225370278e-05
59,10.0,2969,0.7780115674833702,0.777430639786525,-0.000580927696845146
60,7.0,2968,0.7860320431719541,0.7879549243340644,0.001922881162110368
60,10.0,2968,0.7818540891903262,0.7832603666932567,0.0014062775029305419
61,7.0,2968,0.7865627538152439,0.791991728294789,0.005428974479545157
61,10.0,2968,0.7835588639272776,0.7884388666566422,0.004880002729364619
62,7.0,2983,0.810078841254238,0.8102955042429836,0.000216662988745564
62,10.0,2983,0.802259177512241,0.8012900525154121,-0.0009691249968288851
63,7.0,2970,0.7950332003409571,0.79817057883917,0.0031373784982128283
63,10.0,2970,0.7918189520824714,0.7945101906205843,0.0026912385381128168
64,7.0,2957,0.7838886658637763,0.7814951695519678,-0.0023934963118084074
64,10.0,2957,0.7806107435801775,0.7787164558691392,-0.0018942877110382783
65,7.0,3011,0.7867162851334275,0.7866348047007531,-8.148043267441896e-05
65,10.0,3011,0.7833694168439097,0.7825402368178788,-0.0008291800260309401
66,7.0,3011,0.7940135301470378,0.7961195222056076,0.002105992058569761
66,10.0,3011,0.7894435837851794,0.7912477407694294,0.0018041569842499605
67,7.0,2994,0.7870564030207147,0.7881683868759679,0.0011119838552532402
67,10.0,2994,0.7849859043393651,0.7855735878421336,0.000587683502768499
68,7.0,2962,0.7961429063067144,0.7983901568074924,0.0022472505007780086
68,10.0,2962,0.7956982709901356,0.7965895131883118,0.0008912421981762675
69,7.0,2976,0.789861091221538,0.7928039524559645,0.0029428612344264415
69,10.0,2976,0.7848622607973605,0.7876069725135761,0.0027447117162155976
70,7.0,2947,0.784394198313726,0.78454531331648,0.0001511150027539987
70,10.0,2947,0.7819049788887867,0.7813747003859841,-0.000530278502802628
71,7.0,2962,0.7929220075800824,0.7913514100568367,-0.0015705975232456204
71,10.0,2962,0.7910796348592687,0.7889147379719267,-0.002164896887342005
72,7.0,2969,0.8021182645495413,0.8044834416245534,0.0023651770750121592
72,10.0,2969,0.7969284560580285,0.798602768662673,0.0016743126046444567
73,7.0,2936,0.7874840907755869,0.7892345949756222,0.0017505042000353077
73,10.0,2936,0.7847170871661392,0.7864523253177161,0.0017352381515769455
74,7.0,2936,0.794655513116826,0.7990762011828535,0.004420688066027467
74,10.0,2936,0.7917094281705542,0.7955477534566007,0.00383832528604644
75,7.0,3016,0.7870143653695801,0.7910175545254199,0.004003189155839748
75,10.0,3016,0.7859692040431502,0.78953560698166,0.0035664029385098495
76,7.0,2924,0.7906069093790583,0.7925177742070393,0.0019108648279809737
76,10.0,2924,0.7880774349478202,0.7895241964678704,0.0014467615200501882
77,7.0,2934,0.7770824467744437,0.7776190076328273,0.0005365608583836057
77,10.0,2934,0.7716555561324956,0.7711269902767848,-0.0005285658557108164
78,7.0,3004,0.7908855724485119,0.7901527099081461,-0.0007328625403657529
78,10.0,3004,0.7895136843108481,0.787937474569872,-0.0015762097409761644
79,7.0,3028,0.7761151554767947,0.7793897246876421,0.0032745692108474556
79,10.0,3028,0.7727621429375774,0.7756242727375099,0.0028621297999325
80,7.0,3043,0.7818408870324354,0.7822474096884512,0.0004065226560158175
80,10.0,3043,0.7758201868055581,0.7762204673604066,0.0004002805548485311
81,7.0,2969,0.7898006919740753,0.7925711681290615,0.0027704761549861567
81,10.0,2969,0.7835878787878788,0.7862383838383838,0.0026505050505050143
82,7.0,2951,0.7971016717367643,0.7979863805084982,0.0008847087717339663
82,10.0,2951,0.7939178199814837,0.7940916567566535,0.0001738367751698
83,7.0,2976,0.785017783727926,0.7866812554022058,0.0016634716742798261
83,10.0,2976,0.7808353657172264,0.7823316850513503,0.0014963193341238634
84,7.0,2983,0.781590722238301,0.78324142823847,0.0016507060001690332
84,10.0,2983,0.7773489206108755,0.7784039899042452,0.001055069293369737
85,7.0,3016,0.7953988414976864,0.7980756645219574,0.00267682302427108
85,10.0,3016,0.7949507055771853,0.7978227271161163,0.002872021538931069
86,7.0,2969,0.8063708304116999,0.8073427529502858,0.000971922538585912
86,10.0,2969,0.7996772143855636,0.8003520142330665,0.0006747998475028494
87,7.0,2973,0.769538061912732,0.768277041470714,-0.0012610204420180349
87,10.0,2973,0.7683043124615938,0.7666138009990081,-0.0016905114625856976
88,7.0,2974,0.7859032341809338,0.7861341495074262,0.0002309153264924424
88,10.0,2974,0.7851627797969962,0.7848934547540402,-0.00026932504295607007
