horizon,feature_set,model,protocol,threshold,signature,cache_hit,best_cv_score,split,n,f1_macro,roc_auc,precision_1,recall_1,precision_0,recall_0,brier
10,CV17,MLP,paper_random_search,0.5,56969739f29ffa7014c48156e2d31dc144e2488fb5eab679abf31695062301f6,True,0.7939924155871889,test,523,0.7633558010360108,0.8521053625377643,0.69,0.71875,0.8328173374613003,0.8126888217522659,0.15101230855556816
10,CV17,GradientBoosting,paper_random_search,0.5,09e83986796eda44303338918a3a5a689a3a1abf83507e2ddf7bce572d0a32e7,True,0.7965872271818839,validation,523,0.7405849679230974,0.8132752394410425,0.7278481012658228,0.5958549222797928,0.7863013698630137,0.8696969696969697,0.16314090152489935
10,CV17,GradientBoosting,paper_random_search,0.5,09e83986796eda44303338918a3a5a689a3a1abf83507e2ddf7bce572d0a32e7,True,0.7965872271818839,test,523,0.7685474948632843,0.8606180765357503,0.7127659574468085,0.6979166666666666,0.826865671641791,0.8368580060422961,0.14653806612922374
10,CV17,XGBoost,paper_random_search,0.5,b0fc7492549c28e8b2bccce31159c1b20c1393f87564f7ad32d912a2d9041bcb,True,0.7909480376884586,validation,523,0.7324525789268546,0.8117365363479352,0.703030303030303,0.6010362694300518,0.7849162011173184,0.8515151515151516,0.16456906261840595
10,CV17,XGBoost,paper_random_search,0.5,b0fc7492549c28e8b2bccce31159c1b20c1393f87564f7ad32d912a2d9041bcb,True,0.7909480376884586,test,523,0.7669559099437149,0.8529865307150051,0.696969696969697,0.71875,0.8338461538461538,0.8187311178247734,0.14958183083612767
10,CV17_THY26,LogisticRegression,paper_random_search,0.5,d2623b54b08c7d039654b4474d7c28908d9d420412911e4daceec9d2ac52cabd,True,0.7787195256710244,validation,523,0.7254272881059325,0.8057936881771078,0.6435643564356436,0.6735751295336787,0.8037383177570093,0.7818181818181819,0.17327209194559937
10,CV17_THY26,LogisticRegression,paper_random_search,0.5,d2623b54b08c7d039654b4474d7c28908d9d420412911e4daceec9d2ac52cabd,True,0.7787195256710244,test,523,0.745382625893808,0.8488009818731117,0.6403508771929824,0.7604166666666666,0.8440677966101695,0.7522658610271903,0.16121808476851904
10,CV17_THY26,SVC,paper_random_search,0.5,3417e35b9b5b58c34cbc7b2a7b829d5e2de05e7a35c32e95168b7a3899070fee,True,0.7197893866882996,validation,523,0.5649883553288233,0.6874862615795259,0.5714285714285714,0.2694300518134715,0.6736111111111112,0.8818181818181818,0.2119269933973469
10,CV17_THY26,SVC,paper_random_search,0.5,3417e35b9b5b58c34cbc7b2a7b829d5e2de05e7a35c32e95168b7a3899070fee,True,0.7197893866882996,test,523,0.6293710081473289,0.7456098942598186,0.6699029126213593,0.359375,0.7071428571428572,0.8972809667673716,0.19415476694508305
10,CV17_THY26,KNeighbors,paper_random_search,0.5,1c76e4bac79cb134214f283949ffa0117c6bca6b281fc200140f6b6b98efcb61,True,0.7010523480539373,validation,523,0.6439114628161813,0.729282461924949,0.6307692307692307,0.42487046632124353,0.7175572519083969,0.8545454545454545,0.20639361657766592
10,CV17_THY26,KNeighbors,paper_random_search,0.5,1c76e4bac79cb134214f283949ffa0117c6bca6b281fc200140f6b6b98efcb61,True,0.7010523480539373,test,523,0.7166009852216748,0.7804947129909366,0.689873417721519,0.5677083333333334,0.7726027397260274,0.851963746223565,0.18406360097517438
10,CV17_THY26,RandomForest,paper_random_search,0.5,0dde5a2a7b659efe58ab27fb168f37e62b2528b74a999e21eba87b4abdfe0f8a,True,0.7962129852284439,validation,523,0.7274993587277158,0.8095933427539644,0.68,0.616580310880829,0.7873563218390804,0.8303030303030303,0.16729033200263327
10,CV17_THY26,RandomForest,paper_random_search,0.5,0dde5a2a7b659efe58ab27fb168f37e62b2528b74a999e21eba87b4abdfe0f8a,True,0.7962129852284439,test,523,0.7354577642893272,0.8458899798590129,0.6615384615384615,0.671875,0.8079268292682927,0.8006042296072508,0.15333043084402018
10,CV17_THY26,AdaBoost,paper_random_search,0.5,c1d6b207709beb37128bd4bd30864c2b099e06208da7cd8d63fc604a054aee9a,True,0.7787307019968792,validation,523,0.7317293600390816,0.7970089495996232,0.7055214723926381,0.5958549222797928,0.7833333333333333,0.8545454545454545,0.1882643245988496
10,CV17_THY26,AdaBoost,paper_random_search,0.5,c1d6b207709beb37128bd4bd30864c2b099e06208da7cd8d63fc604a054aee9a,True,0.7787307019968792,test,523,0.7574825916011051,0.853804758308157,0.681592039800995,0.7135416666666666,0.8291925465838509,0.8066465256797583,0.17485846144904402
10,CV17_THY26,MLP,paper_random_search,0.5,b4b1a7eb9999cb62ccf0eb8875df1b8f0e3cfc55a9d168886869a158f0596c7a,True,0.7929357010673362,validation,523,0.7281522468142186,0.804302088239912,0.7412587412587412,0.5492227979274611,0.7710526315789473,0.8878787878787879,0.16779344159015025
10,CV17_THY26,MLP,paper_random_search,0.5,b4b1a7eb9999cb62ccf0eb8875df1b8f0e3cfc55a9d168886869a158f0596c7a,True,0.7929357010673362,test,523,0.7634325223740752,0.8459529204431018,0.7352941176470589,0.6510416666666666,0.8101983002832861,0.8640483383685801,0.15053567260488834
10,CV17_THY26,GradientBoosting,paper_random_search,0.5,f85f0f3a8760fbf7a3ebda502942ceb01c8190845ebc3b0840c564a60b06091a,True,0.7944982785838054,validation,523,0.7199309975513941,0.8076778144135657,0.69375,0.5751295336787565,0.7741046831955923,0.8515151515151516,0.16993258782661708
10,CV17_THY26,GradientBoosting,paper_random_search,0.5,f85f0f3a8760fbf7a3ebda502942ceb01c8190845ebc3b0840c564a60b06091a,True,0.7944982785838054,test,523,0.7646415943426551,0.8558975327291038,0.7298850574712644,0.6614583333333334,0.8137535816618912,0.8580060422960725,0.14889982589699416
10,CV17_THY26,XGBoost,paper_random_search,0.5,039d5d96b1d3d082e0951acf6db050f1ba22499855f515092280118e68bdf035,True,0.7878922181302497,validation,523,0.7317293600390816,0.8156696498665411,0.7055214723926381,0.5958549222797928,0.7833333333333333,0.8545454545454545,0.16439058767543321
10,CV17_THY26,XGBoost,paper_random_search,0.5,039d5d96b1d3d082e0951acf6db050f1ba22499855f515092280118e68bdf035,True,0.7878922181302497,test,523,0.7478820926189347,0.8532461606243705,0.6861702127659575,0.671875,0.8119402985074626,0.8217522658610272,0.1490144036130617
